Modes, Bin 0, Bin 1, Bin  2, Bin  3, Bin  4,Bin  5, Bin  6, Bin  7,Bin  8, Bin  9, Bin  10, bin 11
0,265.42857142857144,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
1,84.2,82.33333333333333,178.0,79.57142857142857,340.0,140.5,151.8,149.5,63.4,140.0,68.66666666666667,0.0
2,126.84615384615384,56.833333333333336,108.33333333333333,279.6,114.25,115.375,155.5,181.33333333333334,100.25,270.3333333333333,0.0,0.0
3,84.6,36.333333333333336,93.33333333333333,118.75,114.0,90.66666666666667,0.0,53.0,121.5,0.0,0.0,0.0
4,150.5,106.0,23.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfall,0.39864230554761904,0.38430374676923074,0.3715836541538462,0.43092122717647063,0.5080355525,0.5347327759411764,0.6051818214285715,0.5747074735714286,0.49593224015384607,0.5476064002500001,0.9739111389999999,0.0
Total Clouds,42.122525282619044,49.02517649692308,47.08542025846154,42.735683533529425,48.3604092925,43.57401623235293,50.28067319714285,44.53006433571429,40.64409130384615,40.6996439775,29.232047442749998,0.0
Total users,8.752104369190475,11.563997025692307,8.918929677153846,10.629192245647058,9.3466970815,8.934682134588234,6.162923314714285,9.143292192999999,8.882842611,10.07142392225,2.8317514312500003,0.0
