Modes, Bin 0, Bin 1, Bin  2, Bin  3, Bin  4,Bin  5, Bin  6, Bin  7,Bin  8, Bin  9, Bin  10, bin 11
0,65.0909090909091,15.0,8.272727272727273,21.333333333333332,6.666666666666667,0.0,4.5,4.0,0.0,0.0,0.0,0.0
1,62.69444444444444,9.52,15.91891891891892,11.344827586206897,17.375,127.0,14.583333333333334,12.416666666666666,7.714285714285714,9.5,24.5,22.0
2,16.9375,11.263157894736842,14.744186046511627,25.612244897959183,22.916666666666668,26.266666666666666,20.384615384615383,12.892857142857142,35.75,44.6,48.333333333333336,17.0
3,23.261904761904763,13.0625,16.52777777777778,10.842105263157896,17.68888888888889,23.73170731707317,14.827586206896552,27.161290322580644,58.714285714285715,61.5,33.857142857142854,17.4
4,20.875,23.933333333333334,12.375,11.125,9.125,64.22222222222223,34.6,10.0,7.0,7.5,18.75,0.0
Waterfall,0.49352295622920783,0.41628312526532735,0.4372299499035255,0.42751038554246246,0.48194955982824683,0.5389364431706537,0.6140296554728981,0.6357113325758582,0.5458445317254854,0.6246177445595447,0.5944800885318169,0.5007180334418222
Total Clouds,47.21818635577276,46.73426010833099,46.15292787445591,42.26787361235525,42.16076229277837,47.84515241897795,42.57757535113517,43.26917846087986,43.56058808029765,39.09677471005592,37.73045759520071,39.63279204982241
Total users,10.1308989552576,10.460029100956955,9.812731824182162,10.211165295922948,10.340396232102934,9.173599235330387,7.109139768093108,7.18162557571575,8.708137977505109,6.561340405866082,4.645991652526535,4.5787430832924185
