Modes, Bin 0, Bin 1, Bin  2, Bin  3, Bin  4,Bin  5, Bin  6, Bin  7,Bin  8, Bin  9, Bin  10, bin 11
0,74.73076923076923,129.71428571428572,105.14285714285714,70.0,78.0,31.166666666666668,38.0,18.75,39.8,46.2,49.42857142857143,9.0
1,202.140350877193,28.75,28.944444444444443,55.32,31.545454545454547,24.774193548387096,57.61538461538461,45.206896551724135,38.32258064516129,29.848484848484848,57.458333333333336,59.89473684210526
2,57.09090909090909,43.52,50.97435897435897,35.06666666666667,44.625,71.06666666666666,29.0,23.19047619047619,28.379310344827587,38.43478260869565,24.289473684210527,31.0
3,41.25,38.55,19.15,34.78787878787879,41.44736842105263,29.09375,32.53846153846154,33.03333333333333,35.25,22.217391304347824,44.57692307692308,29.166666666666668
4,63.0,21.0,22.8,42.75,21.3,17.916666666666668,19.375,20.3,18.77777777777778,32.0,17.0,23.166666666666668
Waterfall,1.3907573725763813,1.026653017811284,1.0704046986914442,1.2858081708788516,1.42118160158774,1.6327264234628591,1.852876580155659,1.8617063097717066,2.0544923720102535,2.040342463286275,2.103062451420542,2.006151494761974
Total Clouds,25.942656834166137,35.582843621707305,41.8623037415971,38.59225142295409,43.833667855703375,42.81982255660339,39.94939172616413,38.83643469726753,39.92368336972967,37.843698677359676,35.63202856556976,35.72863487578892
Total users,3.1017575736591367,4.676721968333873,6.3772932314785304,5.490159266975161,6.98118046580287,7.011159523676247,7.060134767943448,6.155845610440712,7.07519345858263,6.599505819248468,5.982754644937766,4.641137567919305
