Modes, Bin 0, Bin 1, Bin  2, Bin  3, Bin  4,Bin  5, Bin  6, Bin  7,Bin  8, Bin  9, Bin  10, bin 11
0,35.082139446036294,41.973134328358206,43.43589743589744,46.60683760683761,31.926470588235293,45.97727272727273,40.953125,53.18032786885246,26.07936507936508,26.547619047619047,32.36697247706422,28.324675324675326
1,50.01899007337074,23.390832328106153,25.586666666666666,25.40487804878049,21.95639534883721,17.839116719242902,20.496794871794872,25.59375,25.892441860465116,21.153846153846153,25.148418491484186,21.377622377622377
2,20.050775740479548,26.602331606217618,28.148837209302325,25.683229813664596,23.898527004909983,24.89142857142857,19.934993084370678,19.164690382081687,18.87950310559006,19.944258639910814,23.005945303210463,29.55041518386714
3,21.45945945945946,33.155807365439095,36.86259541984733,29.895495495495496,25.11705202312139,24.938895417156285,26.423340961098397,24.054136874361593,23.176593521421108,24.255863539445627,23.946651532349602,21.523409363745497
4,56.81818181818182,63.71186440677966,63.96825396825397,51.037433155080215,43.65732087227414,34.359550561797754,27.597989949748744,29.429611650485437,30.35211267605634,33.570247933884296,31.45619335347432,34.47435897435897
Waterfall,1.9008619604687405,2.0779049808992984,2.0574805945324686,2.1459914538760225,2.4329178785980328,2.693286307812574,2.8579034420739244,3.0843165531241343,3.193370239960996,3.2808872078541733,3.4699478377617594,3.445574087738164
Total Clouds,13.064838451513925,28.485889972976047,37.846564153176715,44.940235068644895,49.228440734896765,49.03849426721996,46.30672606584534,45.835446193999395,43.190873867649024,41.60500559234388,40.527080483736874,39.129864888269715
Total users,8.822741412591204,10.71898584936863,10.404177034403812,10.006479737959246,10.313031623554606,10.119381600621633,9.71076361191469,9.517130487520928,9.370702663484403,9.098141147736946,8.290913007937435,7.507802028094817
