Modes, Bin 0, Bin 1, Bin  2, Bin  3, Bin  4,Bin  5, Bin  6, Bin  7,Bin  8, Bin  9, Bin  10, bin 11
0,208.8538932633421,65.5,142.66666666666666,140.0,83.0,115.0,287.5,262.2857142857143,304.22222222222223,197.25,298.5,125.78260869565217
1,47.74285714285714,69.79715302491103,81.23333333333333,106.92857142857143,103.62025316455696,155.135593220339,184.03703703703704,121.58536585365853,144.17391304347825,175.68686868686868,146.80208333333334,119.3913043478261
2,15.846153846153847,47.52054794520548,68.17277486910994,91.47692307692307,81.832,103.17460317460318,111.87012987012987,107.13245033112582,153.59006211180125,105.17682926829268,103.43571428571428,118.48322147651007
3,71.0,72.7936507936508,106.58888888888889,118.48275862068965,103.85549132947978,99.99450549450549,127.30496453900709,111.89634146341463,115.01986754966887,127.05839416058394,129.86614173228347,134.67368421052632
4,0.0,296.875,204.825,163.890243902439,162.58620689655172,132.40277777777777,115.48076923076923,109.35593220338983,131.9787234042553,136.07894736842104,119.46428571428571,122.5
Waterfall,1.8558676879500795,2.03489665794223,2.145167107353659,2.3325000583847815,2.5463223305300455,2.8193432711292483,3.0152078483064497,3.1516465442894193,3.273791159414189,3.3503053347963814,3.4440145712903227,3.510184869697562
Total Clouds,13.994618561061023,34.616911585398405,45.2056480930836,49.20390851458694,49.92472291890559,48.849366223401354,46.07841682502305,44.15345382025915,42.68432105988556,41.782707638687775,39.525002393704725,38.138782898841455
Total users,6.77506676610381,13.014136764390434,11.650335464888506,10.526899762010872,10.232670552714591,10.208087112861683,9.57626191703226,9.648231877131753,9.373733303938218,8.40657511128054,7.7028302378932985,7.188335206229267
