Modes, Bin 0, Bin 1, Bin  2, Bin  3, Bin  4,Bin  5, Bin  6, Bin  7,Bin  8, Bin  9, Bin  10, bin 11
0,372.5,0.0,410.5,0.0,500.5,259.0,347.6666666666667,314.4,150.5,273.0,184.0,192.0
1,100.84905660377359,573.0,153.16666666666666,91.55555555555556,148.0,128.6,65.5,117.2,156.66666666666666,160.42857142857142,279.0,120.66666666666667
2,141.83333333333334,88.5,118.22222222222223,80.83333333333333,141.0,64.75,84.66666666666667,117.25,88.0,40.333333333333336,139.66666666666666,130.75
3,52.57142857142857,1.0,100.2,62.666666666666664,95.16666666666667,118.83333333333333,188.33333333333334,120.0,21.5,0.0,112.0,0.0
4,69.33333333333333,51.0,54.5,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfall,1.3396811775859878,1.1297779077499999,1.183553932958333,1.4265395111818184,1.4362338479583328,1.9955523990625001,1.8693231813888889,1.710518689315789,1.8633828628947373,1.9347271530714285,2.553528731875,2.0339517849999997
Total Clouds,24.07704278521019,42.4576507775,46.48989224958334,43.13134151363635,40.93285941833333,44.606923396250004,39.64801495833333,38.064332889999996,37.73096384000001,32.956303465714285,33.87209577625,35.595929251250006
Total users,2.252063338522295,9.228576567,7.564434106333334,6.659503557999998,6.688252767125,9.6247060945625,6.674892969388889,5.770075335631578,5.823367847210526,5.465665091071429,5.800341411374999,4.127870107750001
